x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3
256.56,0.96149,112.63,0.94255,3496.9,2.5526,28.16,0.50133,0.25914,0.98911,112.5,112.6
173.76,0.89506,250.38,0.91716,1081.1,1.7471,17.951,0.43593,0.23156,0.97619,155.19,155.23
136.56,0.98381,313.98,0.86714,1707.8,2.9386,26.591,0.43816,0.1263,0.96664,214.83,214.54
533.51,0.87602,242.87,0.92973,3683.3,2.5839,6.277,0.2712,0.071294,0.99237,163.87,163.88
798.56,0.89542,24.759,0.97784,1678.7,3.2733,12.841,0.58484,0.11608,0.99714,29.384,29.414
693.91,0.99816,32.954,0.92161,2788.6,1.2397,11.709,0.42907,0.14427,0.99674,33.787,33.744
377.34,0.83415,203.63,0.88842,3696.5,1.1864,37.061,0.30824,0.22572,0.98899,172.08,172.31
635.76,0.89996,283.49,0.99352,1851.8,1.3849,3.8692,0.48827,0.22707,0.99321,371,371.01
329.05,0.9482,166.01,0.89432,1028,1.9633,6.5793,0.19021,0.16071,0.98959,47.548,47.534
388.19,0.95431,285.22,0.91897,3010.2,1.7961,16.338,0.59908,0.080915,0.98797,500.92,500.76
527.05,0.87914,75.668,0.89519,2136.4,3.3571,9.4945,0.24295,0.17255,0.99416,37.065,37.13
436.92,0.9563,103.8,0.9817,3191,2.186,3.7315,0.10416,0.072645,0.99366,20.794,20.823
284.1,0.86973,111.48,0.99894,1307.4,2.5257,17.675,0.41875,0.22748,0.98951,67.84,67.8
425.66,0.81885,27.238,0.86482,2075.9,3.0616,35.067,0.26261,0.15139,0.99327,44.379,44.349
291.27,0.86712,261.85,0.80679,3779.2,3.4352,17.764,0.41113,0.25769,0.98244,312.92,313.24
437.93,0.81794,41.639,0.91278,2738.1,2.5078,10.629,0.21192,0.095569,0.99315,21.304,21.269
709.72,0.8878,300.88,0.80606,2665.7,1.8147,28.232,0.51202,0.18629,0.98315,3162.9,3160.4
503.56,0.84752,298.85,0.89875,1522.2,3.9438,12.467,0.10785,0.072487,0.99085,73.356,73.489
361.78,0.92084,167.65,0.93708,2317.7,3.3328,28.475,0.26961,0.062752,0.99076,89.724,89.725
549.9,0.98241,12.688,0.85738,1146.1,2.9534,12.806,0.51103,0.10256,0.99594,19.035,19.03
143.67,0.94699,86.821,0.93864,3732.2,1.0013,2.5441,0.37167,0.14412,0.98023,34.576,34.569
171.56,0.88728,135.41,0.89871,1577.7,3.5291,36.538,0.21217,0.14036,0.97999,70.778,70.803
756.06,0.86682,226.69,0.90062,3475.8,1.8032,38.483,0.55409,0.23166,0.71987,1.9002e+05,1.8962e+05
636.33,0.83512,282.32,0.94664,2551,3.8875,2.8214,0.47217,0.22106,0.9911,873.54,874.73
198.37,0.88162,127.29,0.94808,3951.4,3.4221,6.8471,0.13967,0.20054,0.98354,39.617,39.599
149.29,0.83539,112.51,0.89732,1112.6,2.0532,31.806,0.46953,0.29705,0.97688,84.46,84.316
754.9,0.81554,320.47,0.94602,1263.8,2.6312,38.918,0.2285,0.25366,0.99332,246.32,246.43
289.04,0.94456,94.292,0.82352,1178.7,1.6426,17.178,0.2901,0.091507,0.98868,42.767,42.784
623.03,0.87069,175.34,0.90656,1092.6,1.794,14.172,0.4555,0.17751,0.99414,118,118.11
172.19,0.99342,109.7,0.81249,3408,2.7595,38.776,0.20256,0.15647,0.98133,69.481,69.475
128.6,0.90524,267.18,0.81299,3056.9,2.7233,20.366,0.10491,0.1725,0.96394,78.39,78.432
767.36,0.82901,120.11,0.98285,1094.9,2.1435,24.397,0.32992,0.29223,0.99591,85.736,85.887
415.97,0.82582,223.95,0.84736,2964,3.412,38.271,0.47375,0.072808,0.98888,277.66,277.88
618.9,0.8077,136.19,0.99369,1250.4,3.0296,27.831,0.50664,0.17635,0.99472,123.29,123.21
533.81,0.97585,93.326,0.95493,1601.8,2.2658,20.193,0.51049,0.066508,0.99509,72.747,72.771
557.63,0.84381,41.362,0.88121,2552.9,3.9634,21.288,0.49875,0.16983,0.99489,55.361,55.344
119.74,0.8991,10.457,0.82823,1007,3.7838,35.36,0.11797,0.29874,0.97995,37.026,37.013
781.32,0.82119,152.87,0.80205,2717.3,2.56,30.148,0.14109,0.28653,0.99469,114.2,113.99
186.77,0.91473,134.99,0.98228,2274.8,3.4872,38.7,0.27797,0.15764,0.98383,85.323,85.319
470.22,0.95228,69.007,0.93381,1715.4,1.034,39.932,0.57893,0.22822,0.9946,87.351,87.476
646.93,0.83036,269.07,0.88565,2652.1,1.6258,39.76,0.39953,0.23045,0.99204,498.09,497.7
432.66,0.80176,129.66,0.99573,1653.6,2.0203,8.5402,0.44609,0.2248,0.9923,81.256,81.263
722.91,0.83817,44.109,0.9296,2941.8,3.2436,15.484,0.25502,0.12098,0.99612,34.992,35.041
737.47,0.97115,172.95,0.97445,2302.1,1.0123,20.333,0.19656,0.18966,0.99589,92.117,92.23
103.9,0.85643,84.438,0.81546,1578.1,2.2801,39.195,0.36368,0.20917,0.96618,68.018,68.114
443.15,0.99998,258.27,0.86617,3436,3.3309,24.875,0.51712,0.095175,0.99014,501.21,503.09
641.44,0.94149,98.923,0.98586,2493,3.7264,14.112,0.34846,0.21733,0.99591,89.107,89.152
497,0.88617,55.428,0.84647,1717.1,3.673,9.2716,0.16829,0.26843,0.99376,24.606,24.512
686.49,0.81656,346.86,0.80689,1044.8,1.2777,19.826,0.35883,0.077132,0.99114,229.03,228.48
365.89,0.84698,324.8,0.82385,3806.8,1.824,7.0798,0.15812,0.19505,0.98523,150.23,149.97
297.06,0.82008,125.07,0.96349,1715.5,2.8445,39.503,0.16606,0.23527,0.98867,74.352,74.442
404.38,0.80383,327.27,0.92648,1172,2.936,13.746,0.12789,0.1022,0.98782,88.236,88.066
533.81,0.90658,60.178,0.95515,1375.5,3.6557,17.795,0.20119,0.17773,0.99499,34.224,34.209
459.32,0.93511,31.278,0.9834,2490.8,2.3106,35.597,0.30274,0.25224,0.9952,50.884,50.87
569.93,0.87893,144.34,0.83376,3600.5,1.3226,1.9817,0.34035,0.28924,0.99355,119.24,119.24
769.04,0.95218,19.065,0.89258,3336.4,1.672,15.029,0.43116,0.12861,0.99706,33.369,33.427
525.69,0.80013,137.79,0.99353,1065.2,2.5038,24.767,0.14768,0.29941,0.9935,64.872,64.843
417.99,0.95445,13.782,0.93928,1873.9,2.0303,30.628,0.25225,0.076404,0.9951,34.79,34.794
299.57,0.94395,189.29,0.93342,1591.1,1.7251,22.065,0.57857,0.25102,0.9886,163.3,163.46
774.38,0.93946,60.196,0.98079,1285.1,1.2166,3.9008,0.18065,0.06015,0.99673,16.012,16.041
501.3,0.89233,246.28,0.88675,2928.6,1.5557,15.652,0.17067,0.1846,0.99168,114.19,114.3
211.62,0.8948,287.7,0.9211,3456.1,2.7509,27.993,0.57864,0.28666,0.97691,444.69,444.64
552.1,0.85939,256.19,0.87327,2151.8,1.3039,28.917,0.58633,0.071591,0.99144,352.65,352.68
396.22,0.89452,96.437,0.87339,3405.8,2.9734,30.11,0.49011,0.19544,0.99226,118.2,118.22
435,0.9616,33.436,0.87171,1948.7,2.1116,3.2933,0.55661,0.14236,0.99407,21.063,21.037
111.51,0.82254,91.931,0.81742,2345.7,3.2651,9.786,0.5979,0.1772,0.96639,58.976,59.001
198.31,0.86087,87.989,0.85976,3322.9,2.9465,38.692,0.20131,0.27698,0.98322,68.732,68.783
646.43,0.92951,181.74,0.94123,3706.2,1.7345,10.079,0.29518,0.24724,0.99486,193.2,193.1
222.56,0.83479,174.94,0.87621,1620.7,2.8849,22.494,0.50749,0.28664,0.9821,133.71,133.73
299.43,0.80604,324.31,0.95115,2815.8,1.1244,29.444,0.54578,0.23565,0.98099,459.97,459.97
311.04,0.92644,27.621,0.90718,2587.8,3.5022,35.215,0.1869,0.19046,0.99221,42.754,42.763
125.24,0.86244,159.26,0.96019,2393.2,3.7332,20.721,0.26066,0.24307,0.97232,76.841,76.776
562.59,0.92734,80.724,0.91394,3704.3,1.2845,2.9993,0.43656,0.15644,0.99499,62.405,62.34
601.35,0.92904,72.326,0.8663,2810.8,3.5999,0.074048,0.18368,0.17657,0.99499,24.567,24.624
243.02,0.89419,101.82,0.92734,3355.1,1.2634,24.925,0.16195,0.05775,0.98719,44.691,44.711
562.29,0.85239,94.711,0.88039,1189.6,3.2552,4.0448,0.20089,0.29338,0.994,35.325,35.423
465.5,0.83957,99.384,0.91929,1484,1.9283,10.127,0.15196,0.26549,0.99287,36.349,36.189
635.73,0.93099,37.245,0.9628,3867.1,3.8081,0.28442,0.13561,0.24185,0.99615,12.37,12.332
681.57,0.81981,227.75,0.90941,1036.8,1.2211,22.951,0.36992,0.25958,0.99371,160.14,160.69
368.92,0.90737,299.13,0.8111,3381.1,1.6401,32.138,0.28555,0.23758,0.98595,271.13,271.48
426.35,0.99832,72.836,0.96814,2181.2,2.9617,31.92,0.15182,0.27543,0.99427,55.067,55.096
660.96,0.97279,134.32,0.9698,3931.8,3.0979,33.254,0.24257,0.2491,0.99588,170.7,170.59
450.66,0.86905,206.13,0.9763,1687.5,3.4359,35.311,0.23758,0.065827,0.99193,105.84,105.86
330.28,0.87046,107.54,0.81965,1553.5,2.8278,5.4643,0.18416,0.051309,0.98877,26.446,26.426
634.74,0.81999,274.34,0.81342,3259.2,1.7344,27.767,0.49345,0.18192,0.98776,1693.3,1693.2
349.3,0.84063,88.9,0.88209,2646.3,2.4315,24.31,0.39162,0.2885,0.99059,76.185,76.178
604.83,0.91984,62.528,0.9033,2395.1,3.0567,1.0737,0.54345,0.22889,0.99546,52.681,52.718
646.57,0.9711,86.182,0.95314,3851.8,1.2832,12.71,0.5572,0.12459,0.99617,120.21,120.23
593.01,0.91295,263.47,0.80495,3561.6,1.3094,13.003,0.1036,0.17337,0.99227,100.65,100.22
527.43,0.92668,343.63,0.80221,1025.9,2.4114,37.11,0.55158,0.26018,0.98826,494.32,492.63
547.11,0.94534,256.24,0.91461,3388.7,1.8207,13.178,0.2326,0.2742,0.99267,226.96,226.93
406.66,0.98042,300.21,0.85174,2960.4,3.3427,39.46,0.14533,0.097728,0.98927,142.24,142.15
222.82,0.94596,102.68,0.9737,2618.2,1.3504,6.8997,0.54029,0.26702,0.98761,67.808,67.788
224.98,0.99832,170.49,0.89068,1256.1,2.6346,22.092,0.28311,0.090744,0.98538,73.203,73.255
630.28,0.92527,308.32,0.92175,3980.1,1.9602,7.2157,0.58456,0.13469,0.1546,2.1135e+05,2.1116e+05
649.07,0.98585,38.35,0.86599,3067.6,3.9179,16.037,0.39964,0.22764,0.99621,47.108,47.13
160.29,0.82268,157.77,0.99627,2352.7,2.3886,6.2054,0.46815,0.12751,0.97828,82.253,82.267
585.83,0.86199,28.907,0.95913,3378.9,2.7196,6.4999,0.1692,0.12911,0.99562,15.226,15.235
631.67,0.99187,259.42,0.90237,3861.7,1.5657,13.229,0.28828,0.29361,0.99328,499.98,499.45
234.28,0.83479,98.128,0.83502,2845.7,1.0854,23.471,0.34695,0.077697,0.98442,58.336,58.266
756.84,0.87391,62.015,0.92925,3239.3,2.1752,30.845,0.49039,0.21886,0.99661,120.23,120.23
247.18,0.86909,23.791,0.83742,2313.5,3.5304,8.1371,0.59769,0.1323,0.98832,20.031,20.047
716.94,0.80686,64.054,0.82645,3237.9,1.0596,24.254,0.35857,0.060355,0.99526,64.425,64.462
598.41,0.99638,162.79,0.82541,1336.1,2.9128,39.148,0.34942,0.20704,0.9943,131.15,131.04
551.65,0.90443,318.17,0.89598,3092.5,2.0372,16.12,0.33742,0.1089,0.99065,391.59,391.74
416.42,0.81553,316.81,0.80144,2835.8,3.1522,5.4446,0.19713,0.057951,0.9865,122.04,122.25
639.93,0.96687,163.28,0.94252,2635.3,2.0144,27.515,0.336,0.15091,0.99521,144.03,144.01
761.95,0.91576,89.179,0.99562,3032.4,2.2869,22.877,0.1696,0.27126,0.99655,69.553,69.639
205.51,0.91688,170.1,0.86179,1355.6,1.0144,38.683,0.34343,0.15361,0.9821,102.37,102.38
402.2,0.84598,84.837,0.97733,2762.9,1.3126,8.2054,0.39767,0.14286,0.99261,49.289,49.263
191.98,0.8905,65.313,0.83368,1105.8,2.3376,23.796,0.5925,0.24853,0.98357,56.743,56.597
282.04,0.84405,237.88,0.92681,3510.6,3.55,0.15393,0.15696,0.1235,0.98527,68.944,68.85
410.29,0.90425,33.88,0.85914,2704.3,1.6679,35.782,0.28519,0.17907,0.99348,49.995,49.977
217.88,0.97428,273.03,0.93957,1736.6,1.1156,31.482,0.43244,0.15119,0.98201,190.56,190.52
145.37,0.82585,95.717,0.89321,3699.6,1.2203,1.852,0.22898,0.29163,0.97585,32.233,32.289
571.51,0.98212,94.803,0.84391,3312.7,1.1142,33.742,0.59751,0.15517,0.99511,146.11,146.15
256.23,0.8656,70.151,0.86572,2501.2,3.5773,18.286,0.43388,0.26889,0.98765,56.061,56.028
194.82,0.96262,282.09,0.80631,2217.1,2.5525,18.03,0.53465,0.086654,0.97576,227.73,227.75
386.19,0.85467,254.02,0.90709,1744.2,1.6036,10.741,0.42322,0.26623,0.98857,194.66,194.57
154.02,0.8179,11.985,0.8722,2623.3,1.4034,28.617,0.41583,0.071832,0.98312,33.081,33.073
746.12,0.95083,182.49,0.91785,3355.6,2.0956,10.358,0.32996,0.26677,0.99557,290.29,290.82
713.84,0.98571,200.81,0.81349,1495.5,1.0169,33.945,0.10097,0.2239,0.9947,87.553,87.416
660.34,0.88215,234.58,0.86192,2964.4,3.036,23.663,0.55092,0.14211,0.99208,1266,1264.4
400.67,0.84013,166.26,0.80162,3026,3.5887,18.475,0.56889,0.052632,0.98965,190.86,190.94
115.67,0.95261,291.31,0.96316,2883.9,2.4103,34.001,0.4223,0.2202,0.96443,226.14,226.06
147.08,0.80932,56.851,0.85976,1841.7,1.4735,33.576,0.17812,0.11519,0.97732,43.797,43.823
169.6,0.95427,81.896,0.887,2360.8,3.6428,14.333,0.58154,0.11696,0.98296,58.634,58.629
276.51,0.88184,237.41,0.93796,1223.7,3.1848,11.822,0.45676,0.073336,0.9856,137.16,137.1
145.15,0.97866,219.62,0.83482,1692.7,2.5046,33.178,0.21918,0.27917,0.97304,110.33,110.73
639.12,0.86673,135.69,0.88336,1145.3,3.4762,28.935,0.34365,0.12816,0.99456,91.851,91.822
463.68,0.85132,95.415,0.93519,3009.3,1.4066,3.9942,0.35854,0.073189,0.99317,46.339,46.309
777.01,0.85253,118.08,0.96422,3935.4,1.4465,29.175,0.32805,0.13969,0.99616,148.29,148.31
127.54,0.87773,179.64,0.86338,3443.8,3.4487,31.787,0.2088,0.18806,0.9692,87.962,87.933
600.08,0.89937,291.74,0.93076,2847.3,2.6063,39.9,0.15269,0.064156,0.99287,148.66,148.76
301.57,0.86045,343.93,0.86625,2558.3,2.1112,31.802,0.37793,0.25696,0.9806,369.24,369.71
726.2,0.86156,171.24,0.94749,1771.3,3.3182,16.567,0.27801,0.29446,0.99521,130.77,130.99
192.47,0.80579,330.98,0.86862,3604.3,1.6117,18.964,0.48,0.25424,0.96848,376.86,376.71
182.27,0.85226,241.03,0.88824,2213.4,3.0372,34.027,0.43345,0.085121,0.97581,165.44,165.38
473.26,0.82128,222.1,0.91945,1118.9,3.5805,10.936,0.24471,0.23669,0.99114,102.46,101.99
560.21,0.81498,229.44,0.97906,2090.5,3.182,38.127,0.13527,0.14499,0.99285,111.28,111.37
117.15,0.93002,19.384,0.94928,1236.6,2.8505,35.956,0.50442,0.24923,0.98127,43.12,43.131
586.2,0.82364,110.23,0.98064,1826.2,2.6637,1.1383,0.45977,0.205,0.99464,72.931,73.012
694.67,0.90993,23.658,0.88097,2467.2,1.5608,17.664,0.28254,0.10036,0.99638,28.464,28.424
773.68,0.87536,280.05,0.85526,1547.6,1.896,33.21,0.28224,0.068179,0.99391,183.48,183.51
231.88,0.97702,94.328,0.90202,2629.1,1.1909,14.946,0.43528,0.25987,0.98774,62.089,62.001
295.32,0.88804,300.8,0.97014,3399.8,3.9237,30.134,0.19727,0.092645,0.98555,152.63,152.58
593.08,0.87683,135.39,0.8675,3408.1,3.1617,24.879,0.44169,0.2356,0.99444,224.9,224.7
206.53,0.93422,80.349,0.8831,2681.7,3.6055,2.8907,0.48209,0.084346,0.98548,40.135,40.149
576.93,0.94926,12.309,0.89064,3603,2.6044,24.869,0.35475,0.15651,0.99632,35.202,35.202
125.78,0.89905,326.03,0.89324,1587.7,3.9236,7.5652,0.27745,0.18601,0.96222,146.73,146.11
152.1,0.85042,59.862,0.8012,3243.8,2.3017,10.797,0.1388,0.21504,0.97679,22.82,22.826
662.79,0.93603,199.48,0.87138,1775.2,1.2622,16.443,0.22279,0.21488,0.9944,100.52,100.51
434,0.89215,307.22,0.93197,2092.1,1.4256,10.985,0.50039,0.08668,0.98903,307.56,307.63
637.75,0.96422,52.207,0.97846,1999.1,1.6458,17.049,0.38447,0.27122,0.99633,46.592,46.717
209.44,0.95127,256.79,0.99523,2832.4,3.113,15.877,0.50761,0.29153,0.98199,259.99,260.03
598.16,0.99587,337.57,0.96636,2099.1,1.9938,8.2077,0.34458,0.15813,0.99249,351.15,351.15
590.25,0.86406,171.15,0.8108,1435.2,1.0284,38.11,0.40006,0.24195,0.99312,141.64,141.79
354.04,0.90135,61.395,0.9192,2683.3,2.1373,5.468,0.1675,0.27542,0.99189,22.622,22.563
197.86,0.93622,249.44,0.81533,2271.5,3.4509,7.8763,0.27215,0.29365,0.97775,127.23,127.36
158.72,0.83937,62.611,0.85213,2010,1.4098,37.869,0.44131,0.25583,0.9797,64.523,64.529
360.16,0.99742,198.25,0.87694,1268.6,2.8308,9.3356,0.40571,0.25029,0.99029,119.85,120.13
623.67,0.84359,123.53,0.82025,1860.9,1.4571,29.774,0.36452,0.26656,0.99404,105.92,105.9
563.25,0.85059,203.68,0.93889,2246.6,3.4513,26.756,0.36801,0.12599,0.99318,183.13,182.86
546.23,0.99545,56.378,0.92277,2249.3,3.1104,1.8479,0.37817,0.14392,0.99541,27.225,27.305
588.66,0.83032,47.176,0.8744,3785.6,2.6545,10.763,0.11724,0.26635,0.99473,26.553,26.565
236.83,0.97887,111.72,0.96134,3512.9,2.9481,31.945,0.41042,0.21043,0.98856,98.065,98.012
581.47,0.91626,240.28,0.99466,1643.1,2.8756,11.983,0.40427,0.29336,0.99365,232.54,233.02
630.29,0.89699,122.41,0.8842,2062.3,1.5428,2.6383,0.53824,0.059441,0.99482,88.826,88.861
789.16,0.837,146.46,0.89954,3798.4,3.5205,4.0416,0.45102,0.20065,0.99624,569.44,568.55
770.74,0.89259,124.31,0.86567,1611.8,3.2045,22.628,0.43725,0.17736,0.99573,120.21,120.23
501.11,0.97618,144.94,0.89393,3343.9,1.6384,20.08,0.42817,0.237,0.99389,155.17,155.2
494.85,0.86683,124.81,0.98129,3325.8,1.0695,31.84,0.26541,0.13787,0.99379,89.682,89.658
691.97,0.84951,265.1,0.9257,1128.8,1.6708,0.41157,0.18001,0.22274,0.99384,94.131,94.381
713.52,0.82983,273.85,0.88164,3864.9,3.1799,7.4114,0.24342,0.22205,0.9924,619.8,620.28
210.41,0.96702,232.76,0.93878,2463.9,3.1943,5.0302,0.14176,0.072369,0.98313,51.427,51.407
370.86,0.82489,313.66,0.85072,1408.2,2.5773,17.018,0.37258,0.067283,0.9855,187.5,188.11
703.7,0.99692,182.96,0.90198,1099.8,2.487,26.235,0.46655,0.10986,0.99538,145.32,145.45
149.52,0.88511,285.5,0.83237,2370.6,3.8881,23.026,0.14168,0.25429,0.96788,113.13,112.97
205.14,0.839,313.04,0.85688,1665.9,1.7661,15.911,0.58934,0.16026,0.97316,290.41,290.41
183.73,0.83034,246.78,0.91131,2934,1.3374,28.894,0.18646,0.12308,0.9761,97.899,97.935
787.7,0.87166,151.71,0.88234,1588.7,2.535,10.613,0.14649,0.18139,0.99541,54.824,54.569
339,0.94511,49.468,0.87801,1078,1.8153,35.799,0.30487,0.1881,0.99212,50.765,50.758
256.28,0.96954,146.73,0.8675,1510.1,3.7006,35.949,0.35101,0.16249,0.98717,97.632,97.485
318.51,0.95016,142.91,0.84155,3149.3,1.5188,17.551,0.11727,0.1349,0.98903,46.939,47.063
505.7,0.80499,51.041,0.98134,1976.8,3.5547,20.346,0.42237,0.23225,0.99446,50.01,50.009
704.55,0.8881,162.41,0.94143,2385,2.3779,39.998,0.43633,0.28309,0.99542,263.69,263.79
209.01,0.87826,203.16,0.86679,1971.3,2.9983,20.672,0.23966,0.23078,0.98054,95.094,94.92
640.67,0.9868,344.52,0.95608,1728.7,3.729,39.648,0.48553,0.077823,0.9915,659.22,659.12
559.74,0.97017,87.601,0.95326,2910.5,2.312,3.0318,0.22251,0.12766,0.9952,32.716,32.762
673.13,0.86941,74.453,0.84582,3710.4,3.9677,24.675,0.51721,0.24499,0.99589,196.18,196.65
673.8,0.84073,181.15,0.83388,3248.8,2.0354,26.361,0.21442,0.26784,0.99387,161.85,162.07
253.66,0.9206,256.14,0.96843,1640,2.3765,27.782,0.51931,0.18066,0.98453,218.72,218.92
178.14,0.92631,96.891,0.90439,2288.2,2.4825,13.351,0.51073,0.28086,0.9831,66.001,65.948
377.16,0.84372,288.69,0.99129,1097.2,1.719,31.863,0.16336,0.2006,0.98876,121.2,120.96
275.26,0.82769,44.642,0.89692,1454.8,3.5548,14.99,0.43402,0.26161,0.98903,33.574,33.635
707.91,0.84722,142.54,0.83016,2691.6,1.615,28.846,0.11379,0.11824,0.99451,66.077,66.095
222.03,0.87346,286.2,0.98857,1502.3,2.6294,8.7616,0.33789,0.27083,0.98111,165.95,165.9
455.18,0.96347,130.78,0.95164,1529.9,2.9715,29.533,0.41154,0.07276,0.99365,92.433,92.409
403.28,0.87798,109.96,0.85708,1541.1,2.1613,18.53,0.53111,0.28301,0.99165,89.661,89.463
404.58,0.91765,320.76,0.96057,3826.1,1.9344,2.649,0.10926,0.22876,0.98956,127.09,126.88
223.09,0.91636,149.05,0.92002,3909.9,2.9197,2.4503,0.36791,0.27726,0.98516,89.729,89.721
108.71,0.87497,34.869,0.98007,3808.7,2.1394,15.813,0.45406,0.2658,0.97666,30.429,30.434
308.85,0.98785,264.73,0.96439,3503.6,3.8536,21.2,0.13143,0.21038,0.98831,120,119.98
530.89,0.94347,174.7,0.95325,2420.3,3.4505,35.505,0.28754,0.22284,0.99397,152.86,152.63
206.29,0.84875,32.574,0.90824,2518.3,2.3505,13.824,0.59209,0.11886,0.98645,29.646,29.644
692.64,0.87909,89.245,0.99672,3341.1,1.758,2.6271,0.10837,0.059597,0.99587,19.736,19.757
224.29,0.96553,62.457,0.8023,3806.1,2.4428,10.527,0.46632,0.060296,0.98639,38.951,38.965
482.09,0.89168,296.54,0.87233,2327.3,2.4247,29.752,0.59348,0.24012,0.98751,860,859.67
710.34,0.83429,153.22,0.8575,3670.6,3.9966,30.859,0.4828,0.094696,0.99524,448.48,448.8
190.26,0.9155,29.699,0.94312,2946.2,1.7916,29.021,0.18479,0.11012,0.98723,35.019,35.016
314.44,0.8809,245.23,0.98426,1126.9,2.5261,33.522,0.51136,0.24825,0.98751,214.23,214.21
329.23,0.98747,279.19,0.86705,1202.4,3.1308,23.594,0.27221,0.25892,0.98738,158.13,158.15
107.22,0.85823,299.89,0.96203,1684.6,2.6446,38.547,0.39144,0.20691,0.95737,205.35,205.44
324.2,0.93666,204.21,0.80281,3621,1.1354,30.384,0.39987,0.11526,0.98731,162.68,162.85
767.54,0.94792,70.802,0.96529,2801.7,2.1204,8.0072,0.39316,0.14739,0.99672,57.352,57.389
681.51,0.8019,180.79,0.82973,1824.7,1.0122,0.58874,0.116,0.053801,0.99348,31.626,31.408
522.77,0.94644,134.84,0.95952,2791.6,1.8115,0.32523,0.19076,0.071979,0.99425,36.072,36.089
216.02,0.97402,287.53,0.90453,3973.2,3.35,6.3706,0.55896,0.27894,0.97852,461.02,461.24
171.96,0.91013,339.9,0.95366,2763.5,1.5987,34.733,0.26095,0.093028,0.97349,173.68,173.73
128.43,0.98463,247.15,0.98228,3435.8,1.7398,4.9259,0.38409,0.29999,0.97263,152.47,152.52
278.2,0.97273,324.33,0.9921,2405.9,1.1274,10.644,0.48623,0.24646,0.98428,331.43,331.39
653.67,0.95923,124.23,0.9704,3236.1,2.9868,18.377,0.59793,0.051023,0.99603,234.92,234.92
336.02,0.84247,96.841,0.83439,1870.6,1.2265,37.1,0.33364,0.27447,0.98949,79.362,79.487
737.54,0.86139,13.259,0.80257,3770.2,3.0084,12.61,0.47239,0.18443,0.99633,28.458,28.453
459.77,0.83437,82.569,0.98093,1526.5,2.9128,12.975,0.10486,0.056549,0.99338,24.155,24.136
595.21,0.80387,138.23,0.8462,2916.9,3.586,6.8983,0.3997,0.050084,0.99343,112.64,112.53
